"cps19_votechoice","cps19_citizenship","cps19_age","cps19_gender","cps19_education","cps19_employment","cps19_income_number","cps19_marital","cps19_province"
"Green Party","Canadian citizen",48,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",15000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",61,"A woman","Some university","Working for pay full-time",34000,"Never Married","Nova Scotia"
"Liberal Party","Canadian citizen",41,"A man","Bachelor's degree","Working for pay full-time",74000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",54,"A man","Professional degree or doctorate","Working for pay full-time",2e+05,"Married","British Columbia"
"Conservative Party","Canadian citizen",39,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",75000,"Married","Alberta"
"Green Party","Canadian citizen",25,"A woman","Some university","Student",6e+05,"Never Married","Ontario"
"ndp","Canadian citizen",29,"A woman","Completed secondary/ high school","Working for pay full-time",36000,"Married","British Columbia"
"Liberal Party","Canadian citizen",47,"A man","Some university","Working for pay full-time",130000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",44,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",150000,"Never Married","Ontario"
"Green Party","Canadian citizen",65,"A woman","Completed secondary/ high school","Other (please specify)",44000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",25,"A woman","Completed secondary/ high school","Unemployed/ looking for work",25,"Never Married","Ontario"
"Conservative Party","Canadian citizen",56,"A woman","Bachelor's degree","Retired",87000,"Married","New Brunswick"
"Another party (please specify)","Canadian citizen",66,"A woman","Bachelor's degree","Retired",55000,"Never Married","British Columbia"
"Conservative Party","Canadian citizen",38,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",63000,"Separated","Alberta"
"Green Party","Canadian citizen",40,"A woman","Bachelor's degree","Caring for a family",95000,"Married","New Brunswick"
"Green Party","Canadian citizen",36,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",14000,"Never Married","British Columbia"
"Conservative Party","Canadian citizen",73,"A man","Bachelor's degree","Retired",60000,"Married","Newfoundland and Labrador"
"Conservative Party","Canadian citizen",72,"A woman","Bachelor's degree","Retired",60000,"Married","New Brunswick"
"Green Party","Canadian citizen",71,"A man","Bachelor's degree","Retired",39000,"Divorced","Quebec"
"ndp","Canadian citizen",67,"A man","Completed elementary school","Retired",70000,"Married","Quebec"
"Liberal Party","Canadian citizen",38,"A woman","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",72000,"Married","Quebec"
"Conservative Party","Canadian citizen",33,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",160000,"Living with a partner","Ontario"
"ndp","Canadian citizen",54,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",27000,"Never Married","Nova Scotia"
"Conservative Party","Canadian citizen",51,"A man","Completed secondary/ high school","Working for pay full-time",50000,"Never Married","Nova Scotia"
"Liberal Party","Canadian citizen",67,"A woman","Bachelor's degree","Retired",60000,"Never Married","Nova Scotia"
"Conservative Party","Canadian citizen",26,"A woman","Bachelor's degree","Working for pay full-time",60000,"Living with a partner","Ontario"
"Bloc Québécois","Canadian citizen",35,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",120000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",57,"A woman","Bachelor's degree","Retired",190000,"Married","Quebec"
"People's Party","Canadian citizen",43,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",70000,"Married","Nova Scotia"
"Liberal Party","Canadian citizen",50,"A woman","Bachelor's degree","Working for pay full-time",140000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",59,"A man","Master's degree","Retired",75000,"Living with a partner","Nova Scotia"
"Liberal Party","Canadian citizen",54,"A man","Bachelor's degree","Working for pay full-time",160000,"Married","Quebec"
"Conservative Party","Canadian citizen",61,"A man","Completed secondary/ high school","Retired",22000,"Separated","Quebec"
"Liberal Party","Canadian citizen",40,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",120000,"Married","Ontario"
"Conservative Party","Canadian citizen",56,"A woman","Completed secondary/ high school","Self employed (with or without employees)",78000,"Living with a partner","Quebec"
"Conservative Party","Canadian citizen",61,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",90000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",57,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay part-time",18000,"Never Married","Quebec"
"ndp","Canadian citizen",49,"A man","Completed secondary/ high school","Working for pay full-time",1e+05,"Separated","Newfoundland and Labrador"
"Green Party","Canadian citizen",60,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",40000,"Widowed","Quebec"
"ndp","Canadian citizen",58,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",1e+05,"Married","British Columbia"
"Liberal Party","Canadian citizen",42,"A man","Some university","Working for pay full-time",290,"Married","Ontario"
"Conservative Party","Canadian citizen",30,"A man","Bachelor's degree","Working for pay full-time",180000,"Married","Newfoundland and Labrador"
"ndp","Canadian citizen",44,"A woman","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",150000,"Married","Ontario"
"Conservative Party","Canadian citizen",46,"A man","Some secondary/ high school","Working for pay full-time",80000,"Married","Nova Scotia"
"ndp","Canadian citizen",32,"A man","Master's degree","Working for pay full-time",199000,"Married","Ontario"
"ndp","Canadian citizen",29,"A woman","Bachelor's degree","Working for pay full-time",52000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",99,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",120000,"Married","Quebec"
"ndp","Canadian citizen",30,"A man","Completed secondary/ high school","Working for pay full-time",65000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",54,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay part-time",45000,"Married","Quebec"
"Liberal Party","Canadian citizen",19,"A woman","Completed secondary/ high school","Working for pay part-time",82000,"Living with a partner","Nova Scotia"
"Liberal Party","Canadian citizen",36,"A man","Bachelor's degree","Working for pay full-time",89000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",60,"A man","Bachelor's degree","Working for pay full-time",140000,"Married","Nova Scotia"
"ndp","Canadian citizen",52,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",50000,"Married","Nova Scotia"
"Liberal Party","Canadian citizen",31,"A woman","Bachelor's degree","Working for pay full-time",58000,"Never Married","Nova Scotia"
"ndp","Canadian citizen",41,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",51000,"Married","Ontario"
"Liberal Party","Canadian citizen",45,"A woman","Master's degree","Working for pay full-time",110000,"Married","Ontario"
"Conservative Party","Canadian citizen",53,"A man","Completed secondary/ high school","Working for pay full-time",90000,"Married","Quebec"
"Conservative Party","Canadian citizen",40,"A man","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",30000,"Divorced","Nova Scotia"
"ndp","Canadian citizen",25,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)","Completed secondary/ high school","Disabled",78000,"Living with a partner","Alberta"
"Conservative Party","Canadian citizen",53,"A man","Bachelor's degree","Self employed (with or without employees)",60100,"Widowed","Ontario"
"Conservative Party","Canadian citizen",22,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",35000,"Never Married","Alberta"
"Conservative Party","Canadian citizen",23,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",69000,"Living with a partner","Alberta"
"Liberal Party","Canadian citizen",41,"A man","Some university","Working for pay full-time",90000,"Married","Ontario"
"Liberal Party","Canadian citizen",22,"A woman","Bachelor's degree","Working for pay full-time",80000,"Never Married","Ontario"
"ndp","Canadian citizen",41,"A woman","Professional degree or doctorate","Working for pay full-time",130000,"Married","Alberta"
"ndp","Canadian citizen",21,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",111000,"Married","Ontario"
"Conservative Party","Canadian citizen",59,"A man","Bachelor's degree","Retired",67000,"Divorced","Alberta"
"Green Party","Canadian citizen",31,"A man","Bachelor's degree","Self employed (with or without employees)",175000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",54,"A man","Master's degree","Working for pay full-time",1e+05,"Married","Ontario"
"Green Party","Canadian citizen",29,"A woman","Bachelor's degree","Student",32000,"Never Married","Ontario"
"ndp","Canadian citizen",56,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",55000,"Married","Newfoundland and Labrador"
"Liberal Party","Canadian citizen",42,"A woman","Bachelor's degree","Self employed (with or without employees)",72000,"Married","Ontario"
"Conservative Party","Canadian citizen",72,"A man","Bachelor's degree","Retired",43000,"Married","Quebec"
"Conservative Party","Canadian citizen",29,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",130000,"Living with a partner","Alberta"
"ndp","Canadian citizen",60,"A man","Completed secondary/ high school","Disabled",1300,"Divorced","Ontario"
"Liberal Party","Canadian citizen",19,"A woman","Some technical, community college, CEGEP, College Classique","Student",14800,"Never Married","Ontario"
"Liberal Party","Canadian citizen",75,"A man","Completed elementary school","Retired",34000,"Married","Quebec"
"Conservative Party","Canadian citizen",74,"A man","Completed secondary/ high school","Retired",72000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",23,"A woman","Bachelor's degree","Working for pay full-time",50000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",50,"A woman","Bachelor's degree","Working for pay part-time",44000,"Divorced","Ontario"
"Liberal Party","Canadian citizen",64,"A man","Some secondary/ high school","Retired",25000,"Never Married","Alberta"
"Liberal Party","Canadian citizen",39,"A woman","Master's degree","Working for pay full-time",1e+05,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",48,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay part-time",55000,"Married","Nova Scotia"
"Green Party","Canadian citizen",32,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)","Some university","Working for pay full-time",60000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",41,"A man","Some secondary/ high school","Working for pay full-time",89000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",45,"A woman","Bachelor's degree","Working for pay full-time",180000,"Married","Newfoundland and Labrador"
"Conservative Party","Canadian citizen",65,"A man","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",125000,"Married","Saskatchewan"
"Liberal Party","Canadian citizen",25,"A woman","Bachelor's degree","Working for pay full-time",79000,"Married","Alberta"
"Liberal Party","Canadian citizen",68,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay part-time",110000,"Married","Nova Scotia"
"Bloc Québécois","Canadian citizen",69,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",80000,"Married","Quebec"
"Liberal Party","Canadian citizen",26,"A man","Bachelor's degree","Working for pay full-time",55000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",65,"A woman","Bachelor's degree","Working for pay part-time",1e+05,"Married","Manitoba"
"Liberal Party","Canadian citizen",29,"A woman","Some secondary/ high school","Working for pay part-time",64000,"Married","Ontario"
"Conservative Party","Canadian citizen",74,"A man","Master's degree","Retired",1e+05,"Married","Ontario"
"Liberal Party","Canadian citizen",46,"A woman","Professional degree or doctorate","Working for pay full-time",4e+05,"Married","Alberta"
"Conservative Party","Canadian citizen",34,"A woman","Bachelor's degree","Working for pay full-time",1e+05,"Living with a partner","Alberta"
"Conservative Party","Canadian citizen",45,"A woman","Completed secondary/ high school","Working for pay full-time",89000,"Widowed","Alberta"
"Liberal Party","Canadian citizen",48,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",58000,"Living with a partner","Quebec"
"ndp","Canadian citizen",66,"A woman","Bachelor's degree","Retired",21000,"Divorced","Alberta"
"Liberal Party","Canadian citizen",50,"A man","Some university","Working for pay full-time",53000,"Never Married","Quebec"
"Green Party","Canadian citizen",42,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",47000,"Married","Quebec"
"ndp","Canadian citizen",38,"A woman","Bachelor's degree","Working for pay full-time",110000,"Married","Ontario"
"Conservative Party","Canadian citizen",49,"A woman","Some university","Working for pay full-time",257000,"Married","Ontario"
"Conservative Party","Canadian citizen",56,"A man","Completed technical, community college, CEGEP, College Classique","Retired",120000,"Married","Alberta"
"Liberal Party","Canadian citizen",73,"A man","Bachelor's degree","Retired",91000,"Married","Ontario"
"Conservative Party","Canadian citizen",32,"A woman","Completed secondary/ high school","Caring for a family",144000,"Married","Newfoundland and Labrador"
"Conservative Party","Canadian citizen",61,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",154000,"Never Married","British Columbia"
"Conservative Party","Canadian citizen",61,"A man","Some technical, community college, CEGEP, College Classique","Working for pay part-time",170000,"Married","Saskatchewan"
"ndp","Canadian citizen",39,"A man","Master's degree","Working for pay full-time",2e+05,"Married","Ontario"
"ndp","Canadian citizen",71,"A woman","Some technical, community college, CEGEP, College Classique","Retired",51000,"Divorced","British Columbia"
"Liberal Party","Canadian citizen",19,"A woman","Master's degree","Working for pay full-time",71000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",79,"A man","Completed technical, community college, CEGEP, College Classique","Retired",50000,"Married","Ontario"
"Conservative Party","Canadian citizen",46,"A woman","Some secondary/ high school","Working for pay full-time",150,"Married","Alberta"
"Liberal Party","Canadian citizen",62,"A woman","Some university","Retired",95000,"Married","Manitoba"
"Liberal Party","Canadian citizen",59,"A man","Bachelor's degree","Working for pay full-time",199000,"Married","Ontario"
"Conservative Party","Canadian citizen",75,"A man","Professional degree or doctorate","Working for pay part-time",120000,"Divorced","Alberta"
"Liberal Party","Canadian citizen",43,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",67000,"Married","British Columbia"
"Green Party","Canadian citizen",71,"A man","Professional degree or doctorate","Retired",80000,"Never Married","British Columbia"
"Liberal Party","Canadian citizen",44,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",170000,"Married","Ontario"
"Liberal Party","Canadian citizen",64,"A man","Bachelor's degree","Retired and working for pay",1e+05,"Married","Quebec"
"Conservative Party","Canadian citizen",42,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",54000,"Never Married","Manitoba"
"Conservative Party","Canadian citizen",35,"A man","Completed secondary/ high school","Working for pay full-time",70000,"Never Married","Saskatchewan"
"Liberal Party","Canadian citizen",66,"A man","Professional degree or doctorate","Retired",150000,"Married","British Columbia"
"Liberal Party","Canadian citizen",35,"A man","Bachelor's degree","Working for pay full-time",150000,"Never Married","Ontario"
"ndp","Canadian citizen",64,"A woman","Some technical, community college, CEGEP, College Classique","Retired",55000,"Married","British Columbia"
"Conservative Party","Canadian citizen",39,"A man","Master's degree","Working for pay full-time",99000,"Never Married","Ontario"
"ndp","Canadian citizen",66,"A woman","Some technical, community college, CEGEP, College Classique","Retired",1e+06,"Divorced","Saskatchewan"
"Liberal Party","Canadian citizen",45,"A man","Some university","Working for pay full-time",190000,"Married","Ontario"
"Liberal Party","Canadian citizen",66,"A woman","Bachelor's degree","Working for pay full-time",45000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",53,"A woman","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",6000,"Married","Ontario"
"People's Party","Canadian citizen",34,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",50000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",70,"A woman","Completed secondary/ high school","Retired",1e+05,"Widowed","Ontario"
"Green Party","Canadian citizen",74,"A man","Bachelor's degree","Retired",70000,"Never Married","Manitoba"
"ndp","Canadian citizen",60,"A woman","Master's degree","Working for pay full-time",20000,"Divorced","Quebec"
"Conservative Party","Canadian citizen",54,"A man","Completed technical, community college, CEGEP, College Classique","Disabled",12000,"Separated","British Columbia"
"Conservative Party","Canadian citizen",66,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",130000,"Widowed","Quebec"
"Conservative Party","Canadian citizen",60,"A man","Some secondary/ high school","Disabled",14000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",49,"A man","Master's degree","Working for pay full-time",2e+05,"Married","Alberta"
"Liberal Party","Canadian citizen",74,"A man","Bachelor's degree","Retired",160000,"Married","Ontario"
"Liberal Party","Canadian citizen",66,"A woman","Bachelor's degree","Retired",60000,"Married","Ontario"
"Liberal Party","Canadian citizen",45,"A woman","Bachelor's degree","Working for pay full-time",125000,"Married","Ontario"
"Green Party","Canadian citizen",60,"A man","Bachelor's degree","Retired",150000,"Married","Ontario"
"Conservative Party","Canadian citizen",74,"A man","Some university","Retired",90000,"Married","British Columbia"
"Green Party","Canadian citizen",27,"A woman","Some technical, community college, CEGEP, College Classique","Student and working for pay",710984,"Living with a partner","Alberta"
"ndp","Canadian citizen",61,"A man","Some university","Working for pay full-time",150000,"Married","Nova Scotia"
"ndp","Canadian citizen",45,"A woman","Bachelor's degree","Working for pay full-time",53000,"Divorced","Quebec"
"Liberal Party","Canadian citizen",27,"A woman","Bachelor's degree","Working for pay full-time",50000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",41,"A woman","Bachelor's degree","Working for pay full-time",106000,"Never Married","Alberta"
"People's Party","Canadian citizen",38,"A man","Bachelor's degree","Working for pay full-time",95000,"Divorced","British Columbia"
"Conservative Party","Canadian citizen",44,"A man","Bachelor's degree","Working for pay full-time",170000,"Married","Ontario"
"Green Party","Canadian citizen",56,"A man","Bachelor's degree","Self employed (with or without employees)",70000,"Living with a partner","British Columbia"
"Conservative Party","Canadian citizen",67,"A man","Some university","Self employed (with or without employees)",70000,"Married","Saskatchewan"
"Conservative Party","Canadian citizen",43,"A man","Some university","Self employed (with or without employees)",80000,"Married","Alberta"
"Conservative Party","Canadian citizen",34,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",72000,"Never Married","British Columbia"
"Green Party","Canadian citizen",57,"A man","Completed secondary/ high school","Working for pay full-time",21000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",49,"A man","Master's degree","Working for pay full-time",115000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",25,"A woman","Bachelor's degree","Working for pay full-time",42000,"Living with a partner","British Columbia"
"Liberal Party","Canadian citizen",64,"A man","Bachelor's degree","Self employed (with or without employees)",68225,"Married","Ontario"
"Conservative Party","Canadian citizen",41,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",51000,"Divorced","Saskatchewan"
"Conservative Party","Canadian citizen",75,"A man","Some technical, community college, CEGEP, College Classique","Working for pay part-time",60000,"Married","Ontario"
"Green Party","Canadian citizen",21,"A woman","Some university","Student",15000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",32,"A woman","Bachelor's degree","Working for pay full-time",150000,"Married","British Columbia"
"Liberal Party","Canadian citizen",63,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay part-time",65000,"Married","British Columbia"
"Liberal Party","Canadian citizen",61,"A man","Completed secondary/ high school","Working for pay full-time",85000,"Married","Quebec"
"Liberal Party","Canadian citizen",57,"A woman","Bachelor's degree","Retired",50000,"Divorced","Newfoundland and Labrador"
"Conservative Party","Canadian citizen",56,"A man","Completed secondary/ high school","Working for pay full-time",150000,"Married","Alberta"
"Liberal Party","Canadian citizen",60,"A man","Bachelor's degree","Working for pay full-time",3e+05,"Married","Ontario"
"Liberal Party","Canadian citizen",56,"A man","Bachelor's degree","Self employed (with or without employees)",70000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",46,"A man","Bachelor's degree","Working for pay full-time",135766,"Married","Quebec"
"ndp","Canadian citizen",25,"A woman","Bachelor's degree","Student",24000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",57,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay part-time",110000,"Married","Alberta"
"Conservative Party","Canadian citizen",72,"A man","Some university","Retired",42000,"Married","Ontario"
"Liberal Party","Canadian citizen",51,"A man","Bachelor's degree","Working for pay full-time",75000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",71,"A man","Bachelor's degree","Retired",65000,"Married","Ontario"
"Conservative Party","Canadian citizen",67,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",60000,"Living with a partner","Alberta"
"Conservative Party","Canadian citizen",27,"A man","Completed secondary/ high school","Working for pay full-time",50000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",42,"A man","Some university","Working for pay full-time",80000,"Married","Quebec"
"Liberal Party","Canadian citizen",71,"A man","Some technical, community college, CEGEP, College Classique","Retired",70000,"Married","Ontario"
"Liberal Party","Canadian citizen",67,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",149000,"Married","Ontario"
"Conservative Party","Canadian citizen",46,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",62000,"Never Married","Alberta"
"Liberal Party","Canadian citizen",72,"A woman","Completed secondary/ high school","Retired",20000,"Widowed","Ontario"
"Liberal Party","Canadian citizen",63,"A man","Completed technical, community college, CEGEP, College Classique","Retired",80000,"Living with a partner","New Brunswick"
"Conservative Party","Canadian citizen",45,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",170000,"Married","Ontario"
"Liberal Party","Canadian citizen",50,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",68000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",52,"A man","Completed technical, community college, CEGEP, College Classique","Disabled",35000,"Separated","Ontario"
"Liberal Party","Canadian citizen",29,"A woman","Master's degree","Working for pay full-time",1e+05,"Living with a partner","Quebec"
"ndp","Canadian citizen",40,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",79000,"Married","Saskatchewan"
"Conservative Party","Canadian citizen",67,"A man","Completed technical, community college, CEGEP, College Classique","Retired",73000,"Married","Ontario"
"Conservative Party","Canadian citizen",53,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",144000,"Married","Ontario"
"Green Party","Canadian citizen",40,"A woman","Completed technical, community college, CEGEP, College Classique","Disabled",13500,"Never Married","New Brunswick"
"Conservative Party","Canadian citizen",29,"A woman","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",150000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",47,"A man","Some secondary/ high school","Working for pay full-time",20000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",69,"A man","Completed technical, community college, CEGEP, College Classique","Retired",75000,"Married","Ontario"
"Conservative Party","Canadian citizen",78,"A man","Completed secondary/ high school","Retired",124709,"Married","British Columbia"
"Green Party","Canadian citizen",79,"A man","Completed technical, community college, CEGEP, College Classique","Retired",80000,"Married","British Columbia"
"Conservative Party","Canadian citizen",52,"A man","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",80000,"Married","Alberta"
"Liberal Party","Canadian citizen",65,"A man","Some technical, community college, CEGEP, College Classique","Retired",52000,"Married","British Columbia"
"Conservative Party","Canadian citizen",30,"A woman","Bachelor's degree","Working for pay full-time",110000,"Married","Ontario"
"Conservative Party","Canadian citizen",31,"A woman","Bachelor's degree","Working for pay full-time",90000,"Married","Ontario"
"Liberal Party","Canadian citizen",38,"A woman","Completed technical, community college, CEGEP, College Classique","Disabled",34000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",21,"A man","Master's degree","Working for pay full-time",81000,"Married","Ontario"
"Green Party","Canadian citizen",62,"A man","Completed technical, community college, CEGEP, College Classique","Retired",70000,"Living with a partner","British Columbia"
"Conservative Party","Canadian citizen",38,"A woman","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",120000,"Married","Saskatchewan"
"Conservative Party","Canadian citizen",44,"A woman","Bachelor's degree","Working for pay full-time",99000,"Divorced","Manitoba"
"Liberal Party","Canadian citizen",49,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",75000,"Married","Saskatchewan"
"Liberal Party","Canadian citizen",72,"A woman","Professional degree or doctorate","Retired",16000,"Widowed","Quebec"
"Liberal Party","Canadian citizen",25,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",34000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",39,"A man","Some university","Working for pay full-time",76000,"Married","Ontario"
"ndp","Canadian citizen",38,"A woman","Bachelor's degree","Working for pay part-time",125000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",38,"A man","Bachelor's degree","Working for pay full-time",212000,"Married","Alberta"
"ndp","Canadian citizen",23,"A woman","Bachelor's degree","Student",20000,"Never Married","Manitoba"
"Liberal Party","Canadian citizen",47,"A woman","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",140000,"Married","Manitoba"
"Conservative Party","Canadian citizen",24,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay part-time",10000,"Living with a partner","Alberta"
"Conservative Party","Canadian citizen",51,"A man","Bachelor's degree","Working for pay full-time",120000,"Married","Ontario"
"ndp","Canadian citizen",25,"A woman","Bachelor's degree","Working for pay part-time",7000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",49,"A woman","Bachelor's degree","Working for pay full-time",114000,"Never Married","Manitoba"
"Liberal Party","Canadian citizen",22,"A woman","Bachelor's degree","Student",110000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",52,"A woman","Some technical, community college, CEGEP, College Classique","Self employed (with or without employees)",30000,"Separated","Ontario"
"Conservative Party","Canadian citizen",32,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",80000,"Never Married","British Columbia"
"Liberal Party","Canadian citizen",48,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",75000,"Married","Manitoba"
"Green Party","Canadian citizen",44,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",79000,"Never Married","British Columbia"
"Liberal Party","Canadian citizen",63,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",95000,"Married","Quebec"
"ndp","Canadian citizen",26,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",40000,"Living with a partner","British Columbia"
"Conservative Party","Canadian citizen",21,"A woman","Completed secondary/ high school","Working for pay full-time",10000,"Never Married","Alberta"
"ndp","Canadian citizen",65,"A woman","Master's degree","Self employed (with or without employees)",23000,"Divorced","Nova Scotia"
"Conservative Party","Canadian citizen",78,"A man","Some technical, community college, CEGEP, College Classique","Retired",50000,"Married","Alberta"
"Green Party","Canadian citizen",59,"A man","Completed secondary/ high school","Working for pay full-time",150100,"Married","Ontario"
"Conservative Party","Canadian citizen",38,"A woman","Completed secondary/ high school","Working for pay full-time",130000,"Married","British Columbia"
"Conservative Party","Canadian citizen",50,"A woman","Completed technical, community college, CEGEP, College Classique","Disabled",46000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",45,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",41363,"Divorced","British Columbia"
"Liberal Party","Canadian citizen",77,"A man","Completed secondary/ high school","Retired",66000,"Married","Quebec"
"Conservative Party","Canadian citizen",46,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",89000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",38,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",148000,"Married","Newfoundland and Labrador"
"Conservative Party","Canadian citizen",30,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",67000,"Never Married","Ontario"
"ndp","Canadian citizen",59,"A man","Completed technical, community college, CEGEP, College Classique","Disabled",22000,"Divorced","British Columbia"
"Liberal Party","Canadian citizen",42,"A man","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",25000,"Never Married","New Brunswick"
"ndp","Canadian citizen",60,"A man","Some secondary/ high school","Disabled",85000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",40,"A woman","Bachelor's degree","Working for pay full-time",67000,"Never Married","New Brunswick"
"ndp","Canadian citizen",52,"A woman","Some university","Working for pay full-time",145000,"Married","Ontario"
"Liberal Party","Canadian citizen",29,"A man","Master's degree","Working for pay full-time",70000,"Never Married","Ontario"
